Date,Open,High,Low,Close,Adj Close,Volume
2024-05-01,5.820000171661377,5.869999885559082,5.800000190734863,5.829999923706055,5.829999923706055,7344893
2024-05-02,5.860000133514404,5.869999885559082,5.800000190734863,5.840000152587891,5.840000152587891,5322520
2024-05-03,5.869999885559082,5.909999847412109,5.835000038146973,5.880000114440918,5.880000114440918,12911812
2024-05-06,5.889999866485596,5.909999847412109,5.820000171661377,5.900000095367432,5.900000095367432,4149342
2024-05-07,5.940000057220459,6.170000076293945,5.920000076293945,6.159999847412109,6.159999847412109,13054702
2024-05-08,6.150000095367432,6.260000228881836,6.099999904632568,6.210000038146973,6.210000038146973,10358109
2024-05-09,6.21999979019165,6.360000133514404,6.21999979019165,6.300000190734863,6.300000190734863,9955099
2024-05-10,6.289999961853027,6.329999923706055,6.239999771118164,6.239999771118164,6.239999771118164,8606704
2024-05-13,6.25,6.269999980926514,6.190000057220459,6.21999979019165,6.21999979019165,6738598
2024-05-14,6.230000019073486,6.25,6.199999809265137,6.21999979019165,6.21999979019165,5015124
2024-05-15,6.21999979019165,6.25,6.139999866485596,6.179999828338623,6.179999828338623,4399836
2024-05-16,6.190000057220459,6.190000057220459,6.139999866485596,6.150000095367432,6.150000095367432,6377612
2024-05-17,6.150000095367432,6.179999828338623,6.099999904632568,6.110000133514404,6.110000133514404,3811781
2024-05-20,6.130000114440918,6.170000076293945,6.070000171661377,6.070000171661377,6.070000171661377,5516234
2024-05-21,6.090000152587891,6.269999980926514,6.039999961853027,6.269999980926514,6.269999980926514,9311603
2024-05-22,6.269999980926514,6.289999961853027,6.230000019073486,6.25,6.25,3716168
2024-05-23,6.239999771118164,6.239999771118164,6.150000095367432,6.159999847412109,6.159999847412109,4159583
2024-05-24,6.079999923706055,6.110000133514404,6.03000020980835,6.070000171661377,6.070000171661377,5763857
2024-05-27,6.110000133514404,6.159999847412109,6.059999942779541,6.119999885559082,6.119999885559082,2381535
2024-05-28,6.130000114440918,6.139999866485596,6.050000190734863,6.070000171661377,6.070000171661377,3201474
2024-05-29,5.980000019073486,6.010000228881836,5.860000133514404,5.909999847412109,5.909999847412109,9629729
2024-05-30,5.900000095367432,6.099999904632568,5.889999866485596,6.070000171661377,6.070000171661377,7505110
2024-05-31,6.050000190734863,6.150000095367432,6.010000228881836,6.150000095367432,6.150000095367432,16195425
2024-06-03,6.199999809265137,6.199999809265137,6.090000152587891,6.099999904632568,6.099999904632568,6765267
2024-06-04,6.110000133514404,6.179999828338623,6.099999904632568,6.170000076293945,6.170000076293945,5604172
2024-06-05,6.159999847412109,6.21999979019165,6.150000095367432,6.179999828338623,6.179999828338623,4824182
2024-06-06,6.239999771118164,6.269999980926514,6.210000038146973,6.21999979019165,6.21999979019165,5216364
2024-06-07,6.230000019073486,6.230000019073486,6.139999866485596,6.199999809265137,6.199999809265137,2403485
2024-06-11,6.130000114440918,6.170000076293945,6.099999904632568,6.159999847412109,6.159999847412109,5141128
2024-06-12,6.139999866485596,6.170000076293945,6.110000133514404,6.139999866485596,6.139999866485596,4045727
2024-06-13,6.21999979019165,6.21999979019165,6.070000171661377,6.110000133514404,6.110000133514404,6010113
2024-06-14,6.130000114440918,6.170000076293945,6.085000038146973,6.110000133514404,6.110000133514404,2809455
2024-06-17,6.110000133514404,6.110000133514404,5.980000019073486,6.0,6.0,4390950
2024-06-18,6.03000020980835,6.090000152587891,6.019999980926514,6.090000152587891,6.090000152587891,3652799
2024-06-19,6.099999904632568,6.170000076293945,6.059999942779541,6.150000095367432,6.150000095367432,4269711
2024-06-20,6.150000095367432,6.170000076293945,6.099999904632568,6.110000133514404,6.110000133514404,6182337
2024-06-21,6.139999866485596,6.150000095367432,6.059999942779541,6.090000152587891,6.090000152587891,20961172
2024-06-24,6.079999923706055,6.130000114440918,6.03000020980835,6.059999942779541,6.059999942779541,6115245
2024-06-25,6.099999904632568,6.099999904632568,6.019999980926514,6.050000190734863,6.050000190734863,4085482
2024-06-26,6.019999980926514,6.039999961853027,5.860000133514404,5.880000114440918,5.880000114440918,6853871
